State,Year,Quarter,Population,Unemployment_Rate,Civilian noninstitutional population,Total Civilian Labor Force,Total Employed Civilian Labor Force,Total Unemployed Civilian Labor Force,% Civilian Labor Force Unemployed,Personal_Income,Applications,Formations,Births,GDP_Total,GDP_Accom_Food,GDP_Admin_Waste,GDP_Ag_Fish_Hunt,GDP_Arts_Recreation,GDP_Construction,GDP_Durable_Goods,GDP_Education,GDP_Finance_Insurance,GDP_Gov_Federal,GDP_Gov_Military,GDP_Gov_State_Local,GDP_Gov_Total,GDP_Healthcare_Social,GDP_Information,GDP_Management,GDP_Manufacturing,GDP_Mining_Oil_Gas,GDP_Nondurable_Goods,GDP_Other_Services,GDP_Private_Total,GDP_Prof_Tech_Services,GDP_Real_Estate,GDP_Retail,GDP_Transport_Warehousing,GDP_Utilities,GDP_Wholesale,Housing_Price_Index
Alabama,2005,1,4569805,4.9,3485077.0,2144592.0,2036967.0,107625.0,5.0,132928.1,7553,1343,14387,155647.0,3458.5,3400.1,2675.2,532.9,7407.6,16543.2,755.9,10716.2,6033.4,3117.4,15566.6,24717.4,9791.2,5139.2,997.1,27718.6,2313.4,11175.4,4228.1,130929.6,8056.4,15986.5,11543.3,3894.8,3610.6,8704.1,171.2
Alabama,2005,2,4584599,4.5,3493724.0,2147431.0,2048262.0,99169.0,4.6,135219.7,7668,1353,14759,157994.9,3473.9,3551.0,2667.9,520.0,7598.6,16769.6,768.4,11057.9,6105.9,3165.2,15742.7,25013.9,9871.3,5288.9,1116.7,27512.5,2522.6,10742.9,4256.9,132981.0,8137.9,16269.2,11758.1,4081.0,3724.4,8803.7,173.9
Alabama,2005,3,4599393,4.23,3503938.0,2155116.0,2062598.0,92518.0,4.3,136638.7,7181,1200,15880,158924.5,3491.7,3644.7,2637.0,523.4,7763.9,16949.5,755.8,10189.5,6174.1,3233.9,15792.1,25200.1,9973.8,5150.5,1185.3,27800.6,2661.6,10851.1,4323.5,133724.4,8424.6,16304.1,11751.7,4203.6,3997.4,8941.7,177.63
Alabama,2005,4,4614187,4.2,3520686.0,2160905.0,2070202.0,90703.0,4.2,139563.5,9042,1465,15427,162142.8,3598.6,3775.5,2675.7,534.7,8122.4,17980.1,783.0,10016.3,6263.5,3320.6,16009.5,25593.6,10211.8,5094.9,1178.9,28971.5,3028.6,10991.4,4341.7,136549.2,8420.7,16044.4,12150.3,4364.7,3964.6,9270.8,182.52
Alabama,2006,1,4628981,4.13,3533952.0,2166286.0,2076274.0,90012.0,4.2,142303.8,8636,1348,15110,163613.4,3722.3,3786.7,2008.0,548.4,8319.5,18336.7,796.2,9702.8,6327.5,3269.7,15984.6,25581.8,10348.3,5221.8,1261.2,29531.5,2858.9,11194.8,4453.2,138031.6,8883.9,16160.8,12275.4,4427.9,4425.4,9299.3,187.19
Alabama,2006,2,4639946,4.1,3545484.0,2176911.0,2086954.0,89957.0,4.1,144474.9,8489,1315,14929,165663.2,3716.8,3729.7,2122.4,556.1,8518.0,18420.8,825.2,9669.9,6403.7,3333.2,16570.0,26306.9,10542.2,5325.2,1184.0,29950.3,2787.8,11529.6,4489.4,139356.3,8985.9,16440.7,12331.0,4480.5,4275.2,9425.9,190.48
Alabama,2006,3,4650910,3.97,3557592.0,2188800.0,2100433.0,88367.0,4.0,145403.0,8452,1318,16759,166857.0,3766.5,3731.5,2201.0,549.5,8541.1,18131.4,827.7,9845.6,6439.0,3430.8,16293.4,26163.2,10704.8,5303.2,1277.1,29505.9,2885.7,11374.6,4500.8,140693.8,9117.6,16978.7,12319.8,4517.2,4499.1,9620.8,193.19
Alabama,2006,4,4661875,3.83,3568773.0,2201954.0,2116606.0,85348.0,3.9,146694.4,8414,1206,16434,168059.3,3811.9,3789.9,2173.8,557.9,8495.7,17985.9,838.2,10091.8,6510.7,3474.4,17235.4,27220.5,10726.7,5112.7,1312.7,28976.0,2902.3,10990.1,4534.9,140838.8,9092.5,17663.3,12245.3,4556.1,4307.3,9649.7,195.8
Alabama,2007,1,4672840,3.87,3578787.0,2206355.0,2121842.0,84513.0,3.8,149754.4,8329,1263,15594,169068.2,3833.6,3929.0,2040.8,578.0,8988.9,17293.5,869.4,9445.2,6614.1,3510.9,17797.2,27922.2,10726.5,4867.2,1436.2,28281.8,3151.0,10988.3,4587.1,141146.0,9461.0,18010.7,12299.6,4414.2,4434.7,9790.9,198.31
Alabama,2007,2,4684182,3.97,3587738.0,2199612.0,2113545.0,86067.0,3.9,151617.0,8390,1190,15491,171632.2,3890.8,4023.7,2011.4,590.5,9131.2,17580.5,902.4,9389.9,6682.3,3573.2,17994.1,28249.6,10851.0,4826.5,1466.8,29095.7,3494.7,11515.2,4541.2,143382.6,9470.1,18205.1,12450.7,4513.3,4634.1,9893.7,200.43
Alabama,2007,3,4695523,4.1,3597481.0,2196419.0,2107706.0,88713.0,4.0,152393.7,8502,1122,17150,173705.1,3912.7,4155.8,2006.0,590.6,9237.5,17814.2,939.5,9828.3,6737.4,3639.3,18116.9,28493.6,10960.7,5129.4,1325.2,29263.1,3550.9,11448.9,4549.0,145211.5,9566.3,18711.0,12380.1,4515.7,4730.1,9859.6,199.96
Alabama,2007,4,4706864,4.33,3608864.0,2201172.0,2107753.0,93419.0,4.2,154005.2,8693,1071,16569,174582.5,3986.1,4224.1,1792.2,596.6,9326.5,18101.3,918.8,8979.2,6687.8,3728.6,18729.5,29145.9,11213.5,4772.1,1453.5,29437.7,3544.4,11336.4,4546.0,145436.6,9758.0,19262.8,12453.7,4742.2,4499.3,9930.0,200.22
