State,Year,Total Population,White Alone,Black Alone,American Indian or Alaskan Native,Asian Alone,Hawaiian or Pacific Islander Alone,Two or More Races,Not Hispanic,Hispanic,Pop_Youth,Pop_Working,Pop_Senior,Age_Median,Population,Lawful_Permanent_Residents,Nonimmigrants,Naturalizations,Refugees,Asylees,Lawful_Permanent_Residents_Per_Million,Nonimmigrants_Per_Million,Naturalizations_Per_Million,Refugees_Per_Million,Asylees_Per_Million
Alabama,2005,4569805.0,3249443.0,1197062.0,27606.0,43406.0,3290.0,48998.0,4444983.0,124822.0,,,,,,,,,,,,,,,
Alabama,2006,4628981.0,3283056.0,1215481.0,28666.0,46030.0,3710.0,52038.0,4491139.0,137842.0,,,,,,,,,,,,,,,
Alabama,2007,4672840.0,3308005.0,1227620.0,29666.0,48454.0,3996.0,55099.0,4522188.0,150652.0,,,,,,,,,,,,,,,
Alabama,2008,4718206.0,3332141.0,1241613.0,30722.0,50683.0,4443.0,58604.0,4554497.0,163709.0,,,,,,,,,,,,,,,
Alabama,2009,4757938.0,3353244.0,1252307.0,31825.0,53747.0,4796.0,62019.0,4581420.0,176518.0,,,,,,,,,,,,,,,
Alabama,2010,4785514.0,3365601.0,1261282.0,32866.0,55738.0,5166.0,64861.0,4599420.0,186094.0,,,,,,,,,,,,,,,
Alabama,2011,4799642.0,3369470.0,1267332.0,32728.0,57641.0,5033.0,67438.0,4610314.0,189328.0,,,,,,,,,,,,,,,
Alabama,2012,4816632.0,3371405.0,1276289.0,32780.0,60993.0,4985.0,70180.0,4626743.0,189889.0,,,,,,,,,,,,,,,
Alabama,2013,4831586.0,3372664.0,1285316.0,32776.0,63305.0,4923.0,72602.0,4639498.0,192088.0,,,,,4830081.0,3850.0,126750.0,1810.0,130.0,20.0,796.674,26240.761,374.942,26.708,4.762
Alabama,2014,4843737.0,3373933.0,1291864.0,32924.0,65329.0,4946.0,74741.0,4649377.0,194360.0,,,,,4841799.0,3690.0,141340.0,1270.0,110.0,10.0,761.081,29191.009,261.473,22.099,2.891
Alabama,2015,4854803.0,3373069.0,1298914.0,33120.0,67636.0,4984.0,77080.0,4656682.0,198121.0,,,,,4852347.0,3930.0,151470.0,2830.0,110.0,30.0,809.505,31215.822,584.047,21.639,5.358
Alabama,2016,4866824.0,3375201.0,1303486.0,33361.0,70132.0,5027.0,79617.0,4663158.0,203666.0,,,,,4863525.0,4740.0,152740.0,2330.0,120.0,20.0,973.779,31405.411,479.282,24.673,3.29
Alabama,2017,4877989.0,3377213.0,1307851.0,33544.0,72154.0,5111.0,82116.0,4669265.0,208724.0,,,,,4874486.0,3800.0,158220.0,1050.0,60.0,40.0,779.775,32458.191,214.382,12.924,8.821
Alabama,2018,4891628.0,3382325.0,1312093.0,33838.0,73410.0,5168.0,84794.0,4676347.0,215281.0,,,,,4887681.0,3740.0,178590.0,2470.0,30.0,60.0,764.575,36538.596,504.943,6.138,11.253
Alabama,2019,4907965.0,3390485.0,1315856.0,34303.0,74708.0,5208.0,87405.0,4687176.0,220789.0,,,,,4903185.0,3670.0,187320.0,2980.0,20.0,40.0,748.289,38204.351,608.176,4.283,8.362
Alabama,2020,5033094.0,3473188.0,1349215.0,36123.0,77136.0,5726.0,91706.0,4767969.0,265125.0,1129676.0,3037360.0,866058.0,39.24,5033094.0,2840.0,90050.0,3490.0,10.0,20.0,564.861,17890.784,693.41,1.192,2.98
Alabama,2021,5049196.0,3481897.0,1351265.0,36535.0,78660.0,5764.0,95075.0,4776864.0,272332.0,1128147.0,3040459.0,880590.0,39.24,5049196.0,2890.0,49890.0,1610.0,0.0,20.0,571.774,9881.375,319.655,0.0,3.367
Alabama,2022,5076181.0,3496988.0,1355585.0,37645.0,81131.0,5903.0,98929.0,4793102.0,283079.0,1129696.0,3043309.0,903176.0,39.32,5076181.0,3750.0,115070.0,4000.0,40.0,30.0,738.153,22668.222,787.6,7.092,6.698
Alabama,2023,5117673.0,3523230.0,1361208.0,39011.0,84738.0,6307.0,103179.0,4821038.0,296635.0,1133918.0,3053888.0,929867.0,39.38,5117673.0,4230.0,153450.0,3070.0,110.0,20.0,825.961,29984.135,600.077,20.713,4.494
Alabama,2024,5157699.0,3545537.0,1368358.0,40544.0,89421.0,6630.0,107209.0,4846252.0,311447.0,1134857.0,3066941.0,955901.0,39.45,,,,,,,,,,,
Alaska,2005,666946.0,464201.0,23577.0,102888.0,32350.0,5488.0,38442.0,632524.0,34422.0,,,,,,,,,,,,,,,
Alaska,2006,675302.0,468452.0,23544.0,103603.0,33258.0,5784.0,40661.0,639797.0,35505.0,,,,,,,,,,,,,,,
Alaska,2007,680300.0,469996.0,23785.0,103803.0,34072.0,6169.0,42475.0,644071.0,36229.0,,,,,,,,,,,,,,,
Alaska,2008,687455.0,472582.0,23955.0,104406.0,35488.0,6589.0,44435.0,650199.0,37256.0,,,,,,,,,,,,,,,
Alaska,2009,698895.0,477369.0,23979.0,105769.0,37726.0,7191.0,46861.0,660663.0,38232.0,,,,,,,,,,,,,,,
Alaska,2010,713982.0,485929.0,24623.0,106699.0,39293.0,7797.0,49641.0,673971.0,40011.0,,,,,,,,,,,,,,,
Alaska,2011,722349.0,489253.0,25291.0,107967.0,40697.0,8264.0,50877.0,680271.0,42078.0,,,,,,,,,,,,,,,
Alaska,2012,730810.0,492463.0,26395.0,109076.0,42176.0,8904.0,51796.0,685689.0,45121.0,,,,,,,,,,,,,,,
Alaska,2013,737626.0,494334.0,27053.0,110228.0,43862.0,9473.0,52676.0,690086.0,47540.0,,,,,737068.0,1460.0,131920.0,1080.0,110.0,10.0,1980.821,178976.702,1469.335,143.813,10.854
Alaska,2014,737075.0,491682.0,26833.0,111054.0,44495.0,9667.0,53344.0,687971.0,49104.0,,,,,736283.0,1510.0,135860.0,1080.0,140.0,20.0,2044.051,184520.083,1461.395,191.502,21.731
Alaska,2015,738430.0,490194.0,26876.0,111916.0,45464.0,10013.0,53967.0,688050.0,50380.0,,,,,737498.0,1570.0,129400.0,960.0,150.0,30.0,2131.531,175456.747,1307.122,197.967,39.322
Alaska,2016,742575.0,490043.0,27380.0,112656.0,46931.0,10550.0,55015.0,690740.0,51835.0,,,,,741456.0,1730.0,120600.0,970.0,130.0,10.0,2327.852,162656.988,1310.934,172.633,17.533
Alaska,2017,740983.0,485311.0,27569.0,113025.0,48248.0,11134.0,55696.0,687978.0,53005.0,,,,,739700.0,1550.0,113110.0,1010.0,70.0,20.0,2091.388,152914.695,1366.77,94.633,24.334
Alaska,2018,736624.0,480179.0,27507.0,113507.0,48056.0,11326.0,56049.0,683255.0,53369.0,,,,,735139.0,1380.0,134730.0,1380.0,40.0,20.0,1870.395,183271.463,1875.836,57.132,24.485
Alaska,2019,733603.0,476519.0,27101.0,113572.0,48295.0,11599.0,56517.0,679981.0,53622.0,,,,,731545.0,1370.0,143370.0,1140.0,50.0,20.0,1878.217,195978.375,1563.814,64.248,24.605
Alaska,2020,733017.0,473610.0,26909.0,114742.0,48948.0,11736.0,57072.0,682495.0,50522.0,180249.0,458915.0,93853.0,35.4,733017.0,820.0,31220.0,620.0,20.0,10.0,1122.757,42584.278,851.276,21.828,10.914
Alaska,2021,734420.0,473093.0,26935.0,114951.0,49152.0,12062.0,58227.0,682260.0,52160.0,178830.0,457469.0,98121.0,35.62,734420.0,760.0,48380.0,890.0,10.0,0.0,1036.192,65875.112,1211.841,16.339,0.0
Alaska,2022,734442.0,472012.0,27016.0,114678.0,49612.0,12189.0,58935.0,680933.0,53509.0,177354.0,455376.0,101712.0,35.82,734442.0,670.0,160780.0,1180.0,20.0,10.0,916.342,218909.049,1612.108,28.593,19.062
Alaska,2023,736510.0,471949.0,27180.0,114550.0,50620.0,12563.0,59648.0,681315.0,55195.0,175776.0,455204.0,105530.0,36.05,736510.0,1160.0,115520.0,1180.0,80.0,20.0,1570.922,156842.405,1598.077,107.263,23.082
Alaska,2024,740133.0,471980.0,27605.0,114527.0,52150.0,13057.0,60814.0,682907.0,57226.0,174947.0,455980.0,109206.0,36.29,,,,,,,,,,,
Arizona,2005,5839077.0,5057542.0,218998.0,298844.0,141711.0,12384.0,109598.0,4220738.0,1618339.0,,,,,,,,,,,,,,,
Arizona,2006,6029141.0,5196133.0,235636.0,308302.0,156142.0,13312.0,119616.0,4327178.0,1701963.0,,,,,,,,,,,,,,,
Arizona,2007,6167681.0,5290642.0,249757.0,316798.0,167344.0,14357.0,128783.0,4394036.0,1773645.0,,,,,,,,,,,,,,,
Arizona,2008,6280362.0,5361814.0,263512.0,325262.0,176686.0,15163.0,137925.0,4449496.0,1830866.0,,,,,,,,,,,,,,,
Arizona,2009,6343154.0,5391934.0,274594.0,330731.0,183714.0,15728.0,146453.0,4476334.0,1866820.0,,,,,,,,,,,,,,,
Arizona,2010,6407342.0,5428205.0,282261.0,336508.0,190154.0,16186.0,154028.0,4503974.0,1903368.0,,,,,,,,,,,,,,,
Arizona,2011,6473416.0,5466291.0,289596.0,341660.0,199240.0,16493.0,160136.0,4537396.0,1936020.0,,,,,,,,,,,,,,,
Arizona,2012,6556344.0,5518374.0,298770.0,347680.0,208170.0,16849.0,166501.0,4582020.0,1974324.0,,,,,,,,,,,,,,,
Arizona,2013,6634690.0,5565999.0,307454.0,352989.0,218002.0,17187.0,173059.0,4621631.0,2013059.0,,,,,6632764.0,16100.0,1952810.0,13170.0,3050.0,160.0,2426.892,294418.436,1984.844,460.14,23.369
Arizona,2014,6732873.0,5630353.0,317599.0,358764.0,228795.0,17587.0,179775.0,4674578.0,2058295.0,,,,,6730413.0,16910.0,1653320.0,11270.0,2960.0,260.0,2512.179,245649.264,1674.191,440.389,38.333
Arizona,2015,6832810.0,5697673.0,329345.0,363957.0,237665.0,17939.0,186231.0,4725109.0,2107701.0,,,,,6829676.0,18000.0,1690890.0,13750.0,3130.0,220.0,2635.118,247580.266,2012.98,458.733,31.627
Arizona,2016,6944767.0,5771056.0,342635.0,369731.0,248969.0,18430.0,193946.0,4787616.0,2157151.0,,,,,6941072.0,20690.0,1599690.0,11370.0,4110.0,110.0,2981.384,230466.706,1638.652,591.695,16.136
Arizona,2017,7048088.0,5841128.0,354605.0,375491.0,256842.0,19181.0,200841.0,4840768.0,2207320.0,,,,,7044008.0,19340.0,2498200.0,12460.0,2250.0,220.0,2746.164,354655.9,1769.163,319.278,30.806
Arizona,2018,7164228.0,5923424.0,367827.0,381556.0,262916.0,19647.0,208858.0,4905324.0,2258904.0,,,,,7158024.0,18340.0,2931410.0,12070.0,1000.0,300.0,2561.461,409527.406,1686.499,139.424,41.771
Arizona,2019,7291843.0,6013191.0,381604.0,386710.0,272360.0,20311.0,217667.0,4978686.0,2313157.0,,,,,7278717.0,18180.0,2816340.0,14280.0,1220.0,520.0,2497.83,386928.356,1961.472,167.062,70.754
Arizona,2020,7187135.0,5905101.0,388072.0,376555.0,276273.0,20296.0,220838.0,4980390.0,2206745.0,1600315.0,4275112.0,1311708.0,38.65,7187135.0,12520.0,1615480.0,13670.0,440.0,530.0,1741.445,224774.406,1902.288,61.777,73.882
Arizona,2021,7274078.0,5965120.0,399230.0,377931.0,282514.0,20781.0,228502.0,5022816.0,2251262.0,1597833.0,4322995.0,1353250.0,38.89,7274078.0,14470.0,486160.0,17510.0,420.0,150.0,1988.706,66835.0,2407.453,58.014,20.621
Arizona,2022,7377566.0,6026817.0,413642.0,381176.0,297290.0,21564.0,237077.0,5070468.0,2307098.0,1596929.0,4386720.0,1393917.0,38.95,7377566.0,16980.0,2044140.0,16400.0,1030.0,310.0,2302.114,277074.851,2222.413,139.477,41.613
Arizona,2023,7473027.0,6077886.0,427411.0,385269.0,315814.0,21988.0,244659.0,5104762.0,2368265.0,1592019.0,4440896.0,1440112.0,39.09,7473027.0,20190.0,2941190.0,13040.0,2610.0,790.0,2701.181,393573.715,1744.808,349.122,105.981
Arizona,2024,7582384.0,6137861.0,443135.0,389519.0,336506.0,22425.0,252938.0,5146721.0,2435663.0,1588175.0,4505757.0,1488452.0,39.21,,,,,,,,,,,
Arkansas,2005,2781097.0,2253503.0,434165.0,22032.0,29107.0,4117.0,38173.0,2643949.0,137148.0,,,,,,,,,,,,,,,
Arkansas,2006,2821761.0,2281831.0,441071.0,22701.0,31116.0,4641.0,40401.0,2672178.0,149583.0,,,,,,,,,,,,,,,
Arkansas,2007,2848650.0,2301121.0,443348.0,23653.0,32810.0,5021.0,42697.0,2688253.0,160397.0,,,,,,,,,,,,,,,
Arkansas,2008,2874554.0,2317769.0,447621.0,24472.0,34246.0,5477.0,44969.0,2704323.0,170231.0,,,,,,,,,,,,,,,
Arkansas,2009,2896843.0,2331280.0,450633.0,25166.0,36260.0,6136.0,47368.0,2717804.0,179039.0,,,,,,,,,,,,,,,
